clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
kfcm(30),2.16 ,1.54 ,1.69 ,0.46 ,4.91 ,26.05 ,2.84 ,1.99 ,2.20 ,0.57 ,6.53 ,27.08 
kfcm(60),2.14 ,1.55 ,1.68 ,0.48 ,4.82 ,18.85 ,2.80 ,2.03 ,2.20 ,0.58 ,6.39 ,27.35 
kfcm(100),2.15 ,1.56 ,1.70 ,0.49 ,4.83 ,15.38 ,2.83 ,2.04 ,2.23 ,0.59 ,6.43 ,18.79 
kfcm(140),2.14 ,1.55 ,1.70 ,0.48 ,4.82 ,14.83 ,2.82 ,2.04 ,2.22 ,0.59 ,6.42 ,18.71 
kfcm(180),2.14 ,1.55 ,1.70 ,0.48 ,4.79 ,15.36 ,2.81 ,2.03 ,2.23 ,0.59 ,6.38 ,18.64 
kfcm(220),2.13 ,1.54 ,1.69 ,0.49 ,4.79 ,15.56 ,2.81 ,2.01 ,2.20 ,0.59 ,6.40 ,18.78 
